Code U2A,Libellé U2A,Action menée,Adresse
A1,Siège,Entrepôt pour aide matérielle,98 rue Didot   75014 PARIS 14EME ARRONDISSEMENT
E0101,Entrepôt de Saint Nizier le Désert,Entrepôt pour aide matérielle,3 rue Henry Dunant   1000 BOURG EN BRESSE
E0901,Entrepôt dept. Ariège,Entrepôt pour aide matérielle,9 avenue du 11 novembre   9600 Laroque-d'Olmes
E1101,Entrepôt dept. Carcassonne,Entrepôt pour aide matérielle,18 rue de l'industrie   11800 TREBES
E1301,Entrepôt d'Aix en Provence,Entrepôt pour aide matérielle,1070 rue du Lieutenant Pareyre   13290 LES MILLES
E3001,Entrepôt de Beaucaire,Entrepôt pour aide matérielle,"16, Rue de la Placette   30300 Beaucaire"
E3002,Entrepôt de Nimes,Entrepôt pour aide matérielle,2160 chemin de Bachas   30000 NIMES
E5601,A DEFINIR,Centre de Distribution Alimentaire,  6-8 rue François Robin 56100 LORIENT
E5602,Entrepôt du Morbihan,Entrepôt pour aide matérielle,6-8 rue François Robin   56100 LORIENT
E5901,Entrepôt de Lomme,Entrepôt pour aide matérielle,60 rue Destombes .  59160 LOMME
E6201,Entrepôt de Saint Omer,Entrepôt pour aide matérielle,Entrepôt Gillias   62500 Saint Omer
E6202,Entrepôt de Lens,Entrepôt pour aide matérielle,  176 avenue Van Pelt 62300 Lens
E7001,Entrepôt des alliés Vesoul,Entrepôt pour aide matérielle,78 bd des Alliés   70000 Vesoul
E7301,Entrepôt dept. Savoie,Entrepôt pour aide matérielle,4 rue Alice Eynard   73100 Aix-les-Bains
E7701,Entrepôt de Limoges Fourches,Entrepôt pour aide matérielle,Rue de Bougainville prolongée   77550 Limoges Fourches
E7702,Entrepôt de Mareuil les Meaux,Entrepôt pour aide matérielle,Village d'Entreprises de Mareuil 832 avenue du Général de Gaulle Bloc 836 77100 MAREUIL LES MEAUX
E7801,A DEFINIR,Centre de Distribution Alimentaire,9 rue du général Exelmans   78140 VELIZY VILLACOUBLAY
E7802,Entrepôt de Velizy,Entrepôt pour aide matérielle,9 rue du Général Exelmans   78140 VELIZY VILLACOUBLAY
E8201,Entrepôt Montauban,Entrepôt pour aide matérielle,830 Bd Blaise Doumerc   82000 MONTAUBAN
E8202,Entrepôt de Moissac,Entrepôt pour aide matérielle,  8 Rue Daubasse 82200 Moissac
E8801,Entrepôt dept. des Vosges,Entrepôt pour aide matérielle,115 rue Neuve Grange Saint-Laurent  88000 EPINAL
E9001,Entrepôt de Belfort,Entrepôt pour aide matérielle,15 Av sarail   90000 BELFORT
E9403,Entrepôt de Limeil Brevannes,Entrepôt pour aide matérielle,  2 RUE ALBERT GARRY 94450 LIMEIL BREVANNES
E9501,Entrepôt dept. Val d'Oise,Entrepôt pour aide matérielle,"1 BIS, Rue HENRI DUNANT   95460 EZANVILLE"
U01,DD de l'Ain,Distribution de chèques,3 rue Henri Dunant   1000 BOURG EN BRESSE
U0101,Centre distribution de Belley,Centre de Distribution Alimentaire,    
U0102,Centre distribution Villars les Dombes,Centre de Distribution Alimentaire,"35, Rue PAUL DUPERRIER   1330 Villars les Dombes"
U0103,Centre distribution Montrevel en Bresse,Centre de Distribution Alimentaire,15 rue de la Gare   1340 Montrevel en Bresse
U0104,Centre distrib Châtillon sur Chalaronne,Centre de Distribution Alimentaire,Impasse des Hortensias   1400 Châtillon sur Chalaronne
U0105,Centre distribution Hauteville Lompnes,Centre de Distribution Alimentaire,116 rue masonod   1110 HAUTEVILLE LOMPNES
U0106,Centre de distribution de Bellegarde,Centre de Distribution Alimentaire,13 rue Viala   1200 Bellegarde
U0107,Centre distribution Montmerle sur Saône,Centre de Distribution Alimentaire,29 rue des Minimes   1090 Montmerle sur Saône
U0108,FERME CD d'Artemare,Centre de Distribution Alimentaire,Gymnase d'Artemare Rue Plâtre  1510 Artemare
U0109,Centre de distribution Culoz,Centre de Distribution Alimentaire,Clos Poncet   1350 Culoz
U0110,Centre de distribution de Thoissey,Centre de Distribution Alimentaire,"20, Faubourg des Dombes   1140  Thoissey"
U0111,Centre distribution de Virieu le Grand,Centre de Distribution Alimentaire,126  route de Lyon BP01  1510 Virieu le Grand
U0112,Centre distribution de Vonnas,Centre de Distribution Alimentaire,RESIDENCE LE TRIOLET Rue Anne-Marie Crolet  1540 Vonnas
U0113,FERMER - CD de Coligny,Centre de Distribution Alimentaire,Mairie de Coligny   1270 Coligny
U0114,Centre de distribution de Trevoux,Centre de Distribution Alimentaire,82 Grande Rue   1600 Trevoux
U0115,Centre distribution Pont de Vaux,Centre de Distribution Alimentaire,L'Arquebuse   1190 PONT DE VAUX
U0116,Centre distribution de Bâgé-la-Ville,Centre de Distribution Alimentaire,Salle de Fêtes de Bourg   1380 Bage la Ville
U0117,FERMER CD Prévessins-Moes,Centre de Distribution Alimentaire,453 route du Nant   1280 PREVESSIN-MOENS
U0118,Epicerie sociale Prévessin-Moëns,Epicerie sociale,453 route de Nant   1280 Prévessin-Moëns
U0119,Centre Distribution de Bourg en Bresse,Centre de Distribution Alimentaire,1 Boulevard des Belges   1000 Bourg en Bresse
U0120,Centre de distribution de Savigneux,Centre de Distribution Alimentaire,Le Bourg   1480 SAVIGNEUX
U0121,Centre de distribution de Lagnieu,Centre de Distribution Alimentaire,14 rue du Docteur MEHIER   1150 LAGNIEU
U0122,Centre de distribution de Meximieux,Centre de Distribution Alimentaire,"11, rue des stades   1800 MEXIMIEUX"
U0123,Centre de distribution de Miribel,Centre de Distribution Alimentaire,32 passage du Lavoir   1700 MIRIBEL
U0124,Centre distribution St Rambert en Bugey,Centre de Distribution Alimentaire,13 Rue de l' Europe   1230 Saint Rambert en Bugey
U02,DD de l'Aisne,Distribution de chèques,"26, Rue CRONSTADT   2100 ST QUENTIN"
U0201,Centre distribution de Villers-Cotterêts,Centre de Distribution Alimentaire,"23, Rue DEMOUSTIER   2600 VILLERS COTTERETS"
U0202,Centre distribution de St Quentin,Centre de Distribution Alimentaire,"26, Rue DE CRONSTADT   2100 ST QUENTIN"
U0203,Epicerie sociale de Château-Thierry,Epicerie sociale,"15, Avenue de la république   2400 Château-Thierry"
U0204,Centre de distribution de Guisé,Centre de Distribution Alimentaire,62 rue Andre Godin   2120 GUISE
U0205,Centre de distribution de Chauny,Centre de Distribution Alimentaire,37 rue du Général Leclerc   2300 CHAUNY
U0206,Centre de distribution de Laon,Centre de Distribution Alimentaire,26 rue Léon Nanquette   2000 LAON
U0207,Centre de distribution de Soissons,Centre de Distribution Alimentaire,6 rue Porte Hozanne   2200 SOISSONS
U0208,Centre de distribution de Tergnier,Centre de Distribution Alimentaire,16 rue Victor Hugo   2700 TERGNIER
U0209,A DEFINIR (CD),Centre de Distribution Alimentaire,  37 rue du Général Leclerc 2300 Chauny
U0210,Centre distribution Vervins,Centre de Distribution Alimentaire,52 rue des moulins   2140  VERVINS
U0211,Distribution CAP de Saint Quentin,Distribution de chèques,26 rue de Cronstadt   2100 Saint Quentin
U0301,Centre de distribution de Vichy,Centre de Distribution Alimentaire,3 rue de l'Imprimerie   3200 VICHY
U0302,Centre de distribution de Moulins,Centre de Distribution Alimentaire,Route de Decize   3000 MOULINS
U04,DD Alpes Haute Provence,Distribution de chèques,18 rue Aubin   4000 Digne
U0401,Centre distribution de Digne les Bains,Centre de Distribution Alimentaire,18 rue Aubin   4000 Digne
U0402,Centre distribution de Manosque,Centre de Distribution Alimentaire,Imm les Heures CLAIRES rue des Heures CLAIRES  4100 MANOSQUE
U0403,Centre de distribution de Sisteron,Centre de Distribution Alimentaire,5 cours Melchior Donnet   4200 SISTERON
U0404,Centre de distribution du Verdon,Centre de Distribution Alimentaire,Place Jean Marie Candray   4370 BEAUVEZER
U05,DD des Hautes Alpes,Distribution de chèques,"28, Rue DE VALSERRES   5000 GAP"
U0501,Centre de distribution de Laragne,Centre de Distribution Alimentaire,Croix Rouge Française délégation locale de Laragne 10 rue du Chateau 5300 LARAGNE
U0502,FERME CD de Veynes,Centre de Distribution Alimentaire,1 rue Anatole France   5400 VEYNES
U0503,Centre de distribution de Gap,Centre de Distribution Alimentaire,78 route de Ste Marguerite   5000 GAP
U0504,Centre distribution de Guillestre,Centre de Distribution Alimentaire,Tour SIVOM   5600 GUILLESTRE
U0505,Centre distribution d'Embrun,Centre de Distribution Alimentaire,Place DE L'ARCHEVECHE  BP 84 5200 EMBRUN
U0506,FERME CD de Briançon,Centre de Distribution Alimentaire,Rue Jean Moulin   5100 BRIANCON
U0507,Distribution itinérante de Gap,Centre de Distribution Alimentaire,28 rue de Valserres   5000 Gap
U0508,Samu social de Gap,Samu social,Route de Sainte-Marguerite   5000 Gap
U0509,Samu social d'Embrun,Samu social,Place de l'archevêché   5200 Embrun
U06,DD des Alpes Maritimes,Distribution de chèques,658 boulevard Jean Ossola   6700 ST LAURENT DU VAR
U0601,Centre distribution de Vence,Centre de Distribution Alimentaire,"20, Rue DE STAMFORD   6140 VENCE"
U0602,Centre distribution de St Laurent du Var,Centre de Distribution Alimentaire,"996, Avenue DU GENERAL DE GAULLE   6700 ST LAURENT DU VAR"
U0603,Centre de distribution Cagnes-sur-Mer,Centre de Distribution Alimentaire,25 Avenue Auguste Renoir   6800 Cagnes-sur-Mer
U0604,Centre de distribution Villeneuve-Loubet,Centre de Distribution Alimentaire,1 Avenue des Rives   6270 VILLENEUVE LOUBET
U0605,Centre distribution de Valbonne,Centre de Distribution Alimentaire,4 rue Louis  Funel   6560 Valbonne
U0606,Centre de distribution de Beausoleil,Centre de Distribution Alimentaire,7 rue Jules Ferry   6240 BEAUSOLEIL
U0607,Centre distribution de Cannes,Centre de Distribution Alimentaire,"11, Rue MARCEAU   6400 CANNES"
U0608,Centre Distribution Antibes,Centre de Distribution Alimentaire,6 rue de l'Isle   6600 Antibes
U0609,Centre de distribution de Biot,Centre de Distribution Alimentaire,11 rue du Portugon   6410 BIOT
U0610,Samu social de Biot,Samu social,11 rue du Portugon   6410 BIOT
U0611,Centre distribution de Grasse,Centre de Distribution Alimentaire,4 avenue de Chiris   6130 Grasse
U0612,Centre distribution Villefranche sur mer,Centre de Distribution Alimentaire,"3, Avenue GENERAL DE GAULLE   6230 VILLEFRANCHE SUR MER"
U0613,Samu social de St Laurent du Var,Samu social,658 bd Jean Ossola   6700 ST LAURENT DU VAR
U0614,Centre de distribution de Nice,Centre de Distribution Alimentaire,2 ruelle Saint-François   6000 NICE
U0615,Epicerie Sociale de Nice,Epicerie sociale,65 boulevard Borriglione   6100 NICE
U0616,Maraude de Menton,Samu social,CROIX ROUGE FRANCAISE DL DE MENTON / RCM 40 RUE DE PARTOUNEAUX 6500 MENTON
U0617,Centre de distribution de Menton,Centre de Distribution Alimentaire,40 rue de Partoureaux   6500 Menton
U0618,Centre de distribution de Carros,Centre de Distribution Alimentaire,"27, rue des arbousiers   6510 CARROS"
U0619,Maraude de Carros,Samu social,"27, rue des arbousiers   6510 CARROS"
U07,DD Ardèche,Distribution de chèques,1278 rue Henri Dunand   7500 GUILHERAND GRANGES
U0701,Centre de distribution d'Annonay,Centre de Distribution Alimentaire,"11, Boulevard DE LA REPUBLIQUE   7100 ANNONAY"
U0702,Centre distribution de Lamastre,Centre de Distribution Alimentaire,Les abattoirs Route de Tournon  7270 LAMASTRE
U0703,Centre de distribution de Vernoux,Centre de Distribution Alimentaire,13 Rue Antonin Calixte   7240 Vernoux-en-Vivarais
U0704,Centre distribution de Vals les Bains,Centre de Distribution Alimentaire,"10 BIS, Boulevard DE VERNON   7600 VALS LES BAINS"
U0705,Samu social de Vals les Bains,Samu social,"10 BIS, Boulevard DE VERNON   7600 VALS LES BAINS"
U0706,Centre de distribution de Le Pouzin,Centre de Distribution Alimentaire,Croix Rouge Française   7250 BP 46   LE POUZIN
U0707,FERMER - CD de Le Teil,Centre de Distribution Alimentaire,"12, Boulevard DE STALINGRAD   7400 Le Teil"
U0708,Centre distribution de Tournon sur Rhône,Centre de Distribution Alimentaire,"18, Rue du Docteur Cadet   7300 TOURNON SUR RHONE"
U0709,Samu sociale de Tournon sur Rhône,Samu social,"18, Rue du Docteur Cadet   7300 TOURNON SUR RHONE"
U0710,A DEFINIR (CAP),Distribution de chèques,1278 Rue HENRI DUNANT   7500 GUILHERAND GRANGES
U0711,Espace bébé maman Le Teil,Espace bébé maman,9 boulevard de Stalingrad   7400 LE TEIL
U0801,Centre distribution Charleville-Mézièrs,Centre de Distribution Alimentaire,38 rue Dubois Crancé   8000 Charleville-Mézièrs
U0802,Samu social Charleville-Mézièrs,Samu social,Rue Dubois Crancé   8000 Charleville-Mézièrs
U0803,Centre distribution de Vouziers,Centre de Distribution Alimentaire,21 rue Henrionnet   8400 Vouziers
U0804,Centre distribution de Rethel,Centre de Distribution Alimentaire,18 place de Caen   8300 Rethel
U09,DD de l'Ariège,Centre de Distribution Alimentaire,DD de l'Ariège Plcace de l'Arget  9000 FOIX
U0901,Samu social de Foix,Samu social,"11, Boulevard ALSACE LORRAINE   9000 FOIX"
U0902,Centre de distribution Laroque-d'Olmes,Centre de Distribution Alimentaire,Espace MERMOZ   9600 Laroque-d'Olmes
U0903,Centre de distribution de Foix,Centre de Distribution Alimentaire,"11, Boulevard ALSACE LORRAINE   9000 FOIX"
U0904,Centre de distribution Lavelanet,Centre de Distribution Alimentaire,"80, Rue SEBILE   9300 LAVELANET"
U0905,Centre de distribution de Pamiers,Centre de Distribution Alimentaire,26 Chemin de la Chartreuse   9100 Pamiers
U0906,Centre distribution Tarascon-sur-Ariège,Centre de Distribution Alimentaire,MAISON DES ASSOCIATIONS Avenue DE L'AYROULE  9400 Tarascon-sur-Ariège
U0907,Centre de distribution Saint-Girons,Centre de Distribution Alimentaire,"1, Rue PAUL BERT   9200 ST GIRONS"
U0908,Centre de distribution du Fossat,Centre de Distribution Alimentaire,avenue de Toulouse   9130 LE FOSSAT
U0909,Centre de distribution Ax-les-Thermes,Centre de Distribution Alimentaire,Immeuble de la résidence Avenue Delcassé  9110 Ax-les-Thermes
U0910,Centre de distribution Le Mas d'Azil,Centre de Distribution Alimentaire,Grande Rue   9290 Le Mas-d'Azil
U0911,Epicerie Sociale itinérante La Roque d'O,Epicerie sociale,avenue Mermoz   9600 La Roque d Olmes
U1001,Centre de distribution de Bar-sur-Seine,Centre de Distribution Alimentaire,    
U1002,Centre de distribution Nogent/Seine,Centre de Distribution Alimentaire,5 avenue du Cardinal   10400 NOGENT SUR SEINE
U1003,A DEFINIR (ES),Epicerie sociale,1 rue de Jargondis   10000 TROYES
U1004,FERME de d'Arcis-sur-Aube,Centre de Distribution Alimentaire,8 avenue Grassin   10700 Arcis-sur-Aube
U1005,Centre distribution de Troyes,Centre de Distribution Alimentaire,18 Rue Louis Morin   10000 TROYES
U1006,Centre de distribution d'Auxon,Centre de Distribution Alimentaire,137 rue du Poulin   10130 AUXON
U1007,A DEFINIR (ES),Epicerie sociale,2 rue du Pinchinat   10110 Bar-sur-Seine
U1101,A DEFINIR (CD),Centre de Distribution Alimentaire,18 rue de l'Industrie  . 11800 TREBES
U1102,Samu social de Trebes,Samu social,18 rue de l'Industrie   11800 TREBES
U1103,Centre de distribution Carcassonne,Centre de Distribution Alimentaire,2 rue Charles Fourier   11000 CARCASSONNE
U1104,Samu social de Carcassonne,Samu social,2 rue Charles Fourier   11000 CARCASSONNE
U1105,Centre de distribution de Lezignan,Centre de Distribution Alimentaire,3 place du 8 mai   11200 LEZIGNAN CORBIERES
U1106,Centre de distribution de Narbonne,Centre de Distribution Alimentaire,28 rue Auguste Limouzi   11100 NARBONNE
U1107,Centre de distribution de Limoux,Centre de Distribution Alimentaire,49 rue du palais   11300 LIMOUX
U12,DD de l'Aveyron,Distribution de chèques,  2 place des toiles 12000 Rodez
U1201,Samu social de Rodez,Samu social,60 TER ROUTE DE LA MOULINE   12350 OLEMPS
U1202,Centre de distribution de Rodez,Centre de Distribution Alimentaire,9 Boulevard Denys Puech   12000 RODEZ
U1203,Distribution CAP de Millau,Distribution de chèques,16 Bd de l'Ayrolle   12100 Millau
U1204,Distribution CAP de Villefranche de Roue,Distribution de chèques,  18 Bd Charles de Gaulle 12200 Villefranche de Rouergue
U1301,Centre de distribution d'Arles,Centre de Distribution Alimentaire,2bis rue Condorcet   13200 Arles
U1302,Centre de distribution Aix en Provence,Centre de Distribution Alimentaire,"32, Cours DES ARTS ET METIERS   13100 Aix en Provence"
U1303,Samu social d'Aix en Provence,Samu social,32 cours des Arts et Métiers Délégation locale d'Aix en Prove  13100 Aix en Provence
U1304,Centre de distribution de Rognac,Centre de Distribution Alimentaire,60 BOULEVARD JEAN JAURES   13340 ROGNAC
U1305,Centre de distribution d'Aubagne,Centre de Distribution Alimentaire,14 rue d'Isly   13400 AUBAGNE
U1306,Centre de distribution de Chateaurenard,Centre de Distribution Alimentaire,14 Bd Gambetta   13160 CHATEAURENARD
U1307,Centre distribution d'Istres,Centre de Distribution Alimentaire,"66, Avenue Guynemer   13800 ISTRES"
U1308,Epicerie sociale de Marignane,Epicerie sociale,11 rue Lamartine   13700 MARIGNANE
U1309,Centre distribution de La Ciotat,Centre de Distribution Alimentaire,"4, Rue DES CAPUCINES   13600 La Ciotat"
U1310,Samu social de la Ciotat,Samu social,    
U1311,Centre distribution Marseille Belle de M,Centre de Distribution Alimentaire,8 rue Fortuné Jourdan   13003 MARSEILLE 3EME ARRONDISSE
U1312,Centre distrib de Marseille Simone Sedan,Centre de Distribution Alimentaire,90 boulevard Baille   13005 MARSEILLE 5EME ARRONDISSE
U1313,Centre de distribution de Martigues,Centre de Distribution Alimentaire,Place Henri Dunant   13500 Martigues
U1314,Centre de distrib Port St Louis du Rhône,Centre de Distribution Alimentaire,HLM Le Vauban   13230 PORT ST LOUIS DU RHONE
U1315,Point alimentaire bébé Aix en provence,Point alimentation bébé,32 cours des arts et métiers   13100 Aix en provence
U1316,FERMER - CD de Vitrolles,Centre de Distribution Alimentaire,8 place Henri Dunant   13127 VITROLLES
U1317,Centre distribution Marseille Caillols,Centre de Distribution Alimentaire,"40, chemin des Campanules Centre social des Caillols  13012 MARSEILLE 12EME ARRONDISS"
U1318,Centre de distribution Marseille Panier,Centre de Distribution Alimentaire,17 A rue Saint Antoine   13001 MARSEILLE 1ER ARRONDISSEM
U1319,Centre de distribution de Marignane,Centre de Distribution Alimentaire,11 rue Lamartine   13700 MARIGNANE
U14,DD du Calvados,Distribution de chèques,44 bis Bd du Maréchal Lyautey   14000 CAEN
U1401,Centre de distribution de Caen,Centre de Distribution Alimentaire,44 bis boulevard Lyautey   14000 CAEN
U1402,Entrepôt de Caen,Entrepôt pour aide matérielle,33 rue du Québec   14000 CAEN
U1403,Samu social de Caen,Samu social,33 rue du Québec   14000 CAEN
U1404,Centre distribution St-Pierre-sur-Dives,Centre de Distribution Alimentaire,"21, Place du Marché   14170 ST PIERRE SUR DIVES"
U1405,A DEFINIR (ES),Epicerie sociale,6 rue Pierre Colombe   14100 LISIEUX
U1406,Centre distribution Condé sur Noireau,Centre de Distribution Alimentaire,1 Bd du 11 Novembre   14110 Condé sur Noireau
U1407,Centre distribution de Vire,Centre de Distribution Alimentaire,10 rue Emile Desvaux   14500 Vire
U1408,Centre distribution Aunay-sur-Odon,Centre de Distribution Alimentaire,"SALLE DES POMPES, Rte de CONDE   14260 Aunay-sur-Odon"
U1409,Centre de distribution Lisieux,Centre de Distribution Alimentaire,6 rue Pierre Colombe   14100 Lisieux
U1410,Samu social de Lisieux,Samu social,6 rue Pierre Colombe   14100 Lisieux
U1411,Espace bébé maman de Caen,Espace bébé maman,29 rue Barbey-d'Aurevilly   14000 CAEN
U16,DD de Charente,Distribution de chèques,Delegation departementale Charente Hopital de Girac 16470 ST MICHEL
U1601,Centre de distribution Angoulême,Centre de Distribution Alimentaire,271 route de Bordeaux   16000 ANGOULEME
U1602,Centre distribution Jarnac,Centre de Distribution Alimentaire,Allée du Pré Vigier ZA de Souillac  16200 JARNAC
U1603,Centre distribution Rouillac,Centre de Distribution Alimentaire,2 rue Epona   16170 ROUILLAC
U1604,Centre distrib de Barbezieux St Hilaire,Centre de Distribution Alimentaire,"7, Avenue Charles Virolleaud   16300 BARBEZIEUX ST HILAIRE"
U1605,Centre distribution Villebois-Lavalette,Centre de Distribution Alimentaire,Salle des fêtes Mairie  16320 Villebois-Lavalette
U1606,Centre distribution Montmoreau St Cybard,Centre de Distribution Alimentaire,Salle de fêtes Mairie Rue H. Dunant  16190 Montmoreau-Saint-Cybard
U1607,Distribution CAP de Confolens,Distribution de chèques,Cour des Récollets   16500 CONFOLENS
U1608,Distribution CAP de Rochefoucauld,Distribution de chèques,BP 59   16110 LA ROCHEFOUCAULD
U1609,Distribution CAP de Roumazières-Loubert,Distribution de chèques,  BP36 16270 Roumazières-Loubert
U1701,Centre de distribution de La Rochelle,Centre de Distribution Alimentaire,9 rue Franc Lapeyre   17000 LA ROCHELLE
U1702,Centre de distribution de Rochefort,Centre de Distribution Alimentaire,18 rue Chanzy BP 20314  17312 ROCHEFORT
U1703,A DEFINIR,Epicerie sociale,    
U1704,Distribution CAP de Royan,Distribution de chèques,Delegation locale de Royan 117 Bd Georges Clemenceau  17200 ROYAN
U1705,Centre de distribution de Saintes,Centre de Distribution Alimentaire,4 place Emile Combes   17100 SAINTES
U1706,Distribution CAP St Jean d'Angely,Centre de Distribution Alimentaire,Croix Rouge Française Délegation locale 1 rue Laurent Tourneur 17400 St Jean D'Angely
U1801,Centre distribution St Florent / Cher,Centre de Distribution Alimentaire,15 rue Marcel Lafleur   18400 Saint Florent sur cher
U19,DD de la Corrèze,Distribution de chèques,1 Bld Anatole France   19100 BRIVE LA GAILLARDE
U1901,Centre distribution de Meyssac,Centre de Distribution Alimentaire,Grand Rue   19500 MEYSSAC
U1902,Centre distribution de Beynat,Centre de Distribution Alimentaire,Ancienne caserne des pompiers   19190 BEYNAT
U1903,Centre de distribution de Tulle,Centre de Distribution Alimentaire,Place de la Gare   19000 TULLE
U1904,Samu social de Brive,Samu social,    Brive la Gaillarde
U1905,Accueil de jour de Brive,Centre de Distribution Alimentaire,7 avenue du 11 novembre   19100 BRIVE LA GAILLARDE
U1906,Centre distribution Brives la Gaillarde,Centre de Distribution Alimentaire,1 Bd Anatole France   19100 BRIVE LA GAILLARDE
U1907,Centre de distribution d'Ussel,Centre de Distribution Alimentaire,20 bis Avenue Pierre Semard   19200 USSEL
U1908,Centre de distribution itinérant Brive,Centre de Distribution Alimentaire,"1, boulevard Anatole France   19100 BRIVE LA GAILLARDE"
U2001,Centre de distribution de Folelli,Centre de Distribution Alimentaire,Allée E Fureste Route de la gendarmerie  20213 Folelli
U2002,Centre de distribution de Corte,Centre de Distribution Alimentaire,Point Social Residence Bertrand Bat L  20250 Corte
U2003,Centre de distribution de Bastia,Centre de Distribution Alimentaire,9 Boulevard Auguste Gaudin   20200 Bastia
U2004,Centre distribution de Porto Vecchio,Centre de Distribution Alimentaire,Place DU PATIO   20137 PORTO VECCHIO
U2005,Centre distribution d'Ajaccio,Centre de Distribution Alimentaire,Immeuble Procissi avenue du Bataillon de Choc  20090 AJACCIO
U2101,Epicerie sociale Dijon,Epicerie sociale,31 C rue Auguste Blanqui   21000 DIJON
U2102,Samu social de Dijon,Samu social,8 rue des Ribottées   21000 DIJON
U2103,A DEFINIR,Centre de Distribution Alimentaire,18 rue Celer   21200 BEAUNE
U2104,Epicerie sociale de Beaune,Epicerie sociale,"18, rue Celer   21200 Beaune"
U2201,Centre de distribution St Brieuc,Centre de Distribution Alimentaire,7 rue Henry Dunant   22000 ST BRIEUC
U2202,Samu social de St Brieuc,Samu social,"7, Rue HENRI DUNANT   22000 ST BRIEUC"
