Code U2A,Libellé U2A,Action menée,Adresse
U2203,Centre distribution Plestin les Grèves,Centre de Distribution Alimentaire,Place d'Auvelais   22310 PLESTIN LES GREVES
U2204,Distribution CAP Dinan,Distribution de chèques,Croix Rouge Française Déléguation locale de Dinan Pent  22101 DINAN cedex
U2205,Samu social de Dinan,Samu social,Croix Rouge Française délégation locale de Dinan  22101 BP 19  DINAN cedex
U2206,Centre de distribution de Lannion,Centre de Distribution Alimentaire,Croix Rouge Française délégation locale 7 rue Beauchamp 22300 LANNION
U2207,Distribution CAP de Lamballe,Distribution de chèques,24 place du Champ de Foire   22400 Lamballe
U2208,Centre distribution de Loudéac,Centre de Distribution Alimentaire,"3, Rue des écoles   22606 LOUDEAC"
U2209,Epicerie sociale de Dinan,Epicerie sociale,  7 rue Henry Dunant 22000 ST BRIEUC
U2210,Centre de distribution de Paimpol,Centre de Distribution Alimentaire,Centre Dunant   22500 PAIMPOL
U2211,Distribution de CAP Saint Brieuc,Distribution de chèques,7 rue Henry Dunan   22000 ST BRIEUC
U23,DD de la Creuse,Distribution de chèques,"11, Rue DE BRACONNE   23000 GUERET"
U2301,Centre de distribution d'Auzances,Centre de Distribution Alimentaire,27 avenue de la gare   23700 AUZANCES
U2302,Centre de distribution de Boussac,Centre de Distribution Alimentaire,62 rue gare   23600 BOUSSAC
U2303,FERME CD Chambon/Voueize,Centre de Distribution Alimentaire,12 vieille route de Budelière   23170 CHAMBON SUR VOUEIZE
U2304,Centre distribution de Gueret,Centre de Distribution Alimentaire,"11, Rue DE BRACONNE   23000 GUERET"
U2305,Centre distribution de Dun le Palestel,Centre de Distribution Alimentaire,"2, Avenue DE VERDUN   23800 DUN LE PALESTEL"
U2306,Centre de distribution d'Aubusson,Centre de Distribution Alimentaire,Croix Rouge Française délégation locale d'Aubusson 34 avenue de la République 23200 AUBUSSON
U2307,Centre distribution de la Souterraine,Centre de Distribution Alimentaire,Rue JULES FERRY   23300 LA SOUTERRAINE
U2308,Centre distribution de Bourganeuf,Centre de Distribution Alimentaire,19 ROUTE DE LA CASCADE   23400 BOURGANEUF
U2401,Centre de distribution de Sarlat,Centre de Distribution Alimentaire,Croix Rouge Française délégation locale de Sarlat Boulevard Henri Arlet 24200 SARLAT
U2402,Centre de distribution de Perigueux,Centre de Distribution Alimentaire,"30, Rue DES FORGERONS   24000 PERIGUEUX"
U2403,Centre distribution de Bergerac,Centre de Distribution Alimentaire,"12, Boulevard Beausoleil   24100 BERGERAC"
U2404,Centre distribution de Riberac,Centre de Distribution Alimentaire,Rue des Mobiles de Coulmiers   24600 RIBERAC
U2405,Centre distribution de Mareuil-sur-Belle,Centre de Distribution Alimentaire,rue des Fontaines   24340 Mareuil-sur-Belle
U2406,Centre de distribution de Bugue,Centre de Distribution Alimentaire,2 rue de la boétie   24260 LE BUGUE
U2407,Centre distribution de Saint Cyprien,Centre de Distribution Alimentaire,rue du Levret   24220 Saint Cyprien
U2408,Centre distribution de Nontron,Centre de Distribution Alimentaire,1 Rue 19 Mars 1962   24300 Nontron
U2409,Centre de distribution de Lolme,Centre de Distribution Alimentaire,Combe de Biron   24540 LOLME
U2410,Centre Distribution St Antoine Breuilh,Centre de Distribution Alimentaire,"9, Le BonDieu   24230 ST ANTOINE DE BREUILH"
U2501,Centre de distribution Baume les Dames,Centre de Distribution Alimentaire,8 rue de Bassenne   25110 Baume les Dames
U2502,Centre de distribution de Besançon,Centre de Distribution Alimentaire,123 grande rue   25000 BESANCON
U2503,Centre de distribution Besançon Planoise,Centre de Distribution Alimentaire,rue de cologne   25000 BESANCON
U2601,Epicerie sociale de Montélimar,Epicerie sociale,6 PLACE DU MAI   26200 MONTELIMAR
U2701,Centre de distribution d'Evreux,Centre de Distribution Alimentaire,26bis rue de la Rochette   27000 Evreux
U2702,Centre distribution de Gaillon,Centre de Distribution Alimentaire,6 RUE DU FOUR A BAON   27600 GAILLON
U2703,Centre de distribution de Bernay,Centre de Distribution Alimentaire,1 Boulevard Georges Milville   27300 BERNAY
U2704,Centre distribution de Le Neubourg,Centre de Distribution Alimentaire,73 Rue Octave Bonnel   27110 Neubourg
U2705,Centre distribution Breteuil sur Iton,Centre de Distribution Alimentaire,88 rue de la Tuilerie   27160 Breteuil sur Iton
U2706,Centre de distribution Rugles,Centre de Distribution Alimentaire,11 Rue de la Chenotière   27250 Rugles
U2707,Centre de distribution Conches-en-Ouche,Centre de Distribution Alimentaire,5 Rue Willy Brandt   27190 Conches-en-Ouche
U2708,Centre de distribution Étrépagny,Centre de Distribution Alimentaire,Rue des Longchamps   27150 Étrépagny
U2709,Centre de distribution de Brionne,Centre de Distribution Alimentaire,2 rue du 8 Mai 1945   27800 Brionne
U2710,Centre distribution de Gisors,Centre de Distribution Alimentaire,56 RUE DE PARIS   27140 GISORS
U2711,Centre distribution Fleury sur Andelle,Centre de Distribution Alimentaire,"10, route de charleval le petit nojon  27380 FLEURY SUR ANDELLE"
U2801,Centre de distribution Chartres,Centre de Distribution Alimentaire,"19, Rue DES VIEUX CAPUCINS   28000 CHARTRES"
U2802,Maraude de Chartres,Samu social,19 rue des Vieux Capucins   28000 CHARTRES
U2803,Centre distribution Nogent le Rotrou,Centre de Distribution Alimentaire,20 rue du Chateau   28400 NOGENT le ROTROU
U2804,FERME CD de Chateaudun,Centre de Distribution Alimentaire,Croix Rouge Française délégation locale de Chateaudun 39 Bd Grindelle 28200 CHATEAUDUN
U2901,Centre de distribution de Carhaix,Centre de Distribution Alimentaire,2 rue Kerninguez   29270 CARHAIX PLOUGUER
U3001,Centre de distribution Beaucaire,Centre de Distribution Alimentaire,"16, Rue de la Placette   30300 Beaucaire"
U3002,Centre de distribution de Nimes,Centre de Distribution Alimentaire,"2160, Chemin du Bachas   30000 NIMES"
U3003,Centre de distribution d'Alès,Centre de Distribution Alimentaire,19 rue Jules Guesde.   30100 ALES
U3004,Samu social d'Alès,Samu social,"CENTRE HENRY DUNANT 6, Boulevard GAMBETTA  30100 ALES"
U3005,Centre de distribution de Besseges,Centre de Distribution Alimentaire,CRF   30160 BESSEGES
U3006,Centre de distribution de St Ambroix,Centre de Distribution Alimentaire,Rue Neuve   30500 SAINT AMBROIX
U3007,Centre de distribution de Quissac,Centre de Distribution Alimentaire,326 route de Nimes   30260 QUISSAC
U3008,Centre de distribution de Roquemaure,Centre de Distribution Alimentaire,Rue du pavillon   30150 ROQUEMAURE
U3009,Centre de Distribution d'Uzes,Centre de Distribution Alimentaire,Place de Verdun   30700 UZES
U3010,Centre de distribution de Pont St Esprit,Centre de Distribution Alimentaire,Avenue Gaston Doumergue   30130 PONT ST ESPRIT
U3011,Centre de distribution de Saint Gilles,Centre de Distribution Alimentaire,Place de l'Hôtel de Ville BP 22  30510 GENERAC
U3101,Centre de distribution Toulouse Mirail,Centre de Distribution Alimentaire,20 Rue Raymond IV UL Toulouse  31000 TOULOUSE
U3102,Centre de distribution de Cugnaux,Centre de Distribution Alimentaire,20 Rue Raymond IV   31000 TOULOUSE
U3103,Centre de distribution de Fonsorbes,Centre de Distribution Alimentaire,    
U3104,Centre de distribution de Bessiere,Centre de Distribution Alimentaire,"20, rue raymond IV   31660 BESSIERES"
U3201,Centre de distribution de Masseube,Centre de Distribution Alimentaire,16 avenue Elyse Duffréchou   32140 MASSEUBE
U3202,Centre distribution de Lombez,Centre de Distribution Alimentaire,rue La Ramondère   32220 LOMBEZ
U3203,Centre distribution de L'Isle Jourdain,Centre de Distribution Alimentaire,"20, Boulevard CARNOT   32600 L ISLE JOURDAIN"
U3204,Centre distribution de Mirande,Centre de Distribution Alimentaire,19 rue du président Wilson   32300 MIRANDE
U33,DD Gironde,Distribution de chèques,"130, Cours ALSACE LORRAINE   33000 BORDEAUX"
U3301,Centre de distribution Arcachon,Centre de Distribution Alimentaire,"38, Rue DE LATTRE DE TASSIGNY   33120 ARCACHON"
U3302,Centre de distribution Bègles,Centre de Distribution Alimentaire,2 rue Francis de Pressensé   33130 BEGLES
U3303,Centre de distribution Bordeaux Bastide,Centre de Distribution Alimentaire,16 Cours Le Rouzic   33100 Bordeaux
U3304,FERME CD Bordeaux Bacalan,Centre de Distribution Alimentaire,78 Rue Delord   33300 Bordeaux
U3305,Espace bébé maman Bordeaux,Espace bébé maman,16 cours de rouzic   33100 Bordeaux
U3306,Distribution CAP Bouscat-Bruges,Distribution de chèques,"384, Avenue de la libération   33110 LE BOUSCAT"
U3307,Distribution CAP Coutras,Distribution de chèques,"68 bis, Rue JUSTIN LUQUOT   33230 COUTRAS"
U3308,Distribution CAP Pessac,Distribution de chèques,"13bis, Avenue PIERRE WIEHN   33600 PESSAC"
U3309,Distribution CAP Eysines,Distribution de chèques,HAUTS DE L'HIPPODROME BATIMENT 2 Rue DES TREYTINS  33320 EYSINES
U3310,FERMER - CD Villenave d'Ornon,Centre de Distribution Alimentaire,"593, Route DE TOULOUSE   33140 VILLENAVE D ORNON"
U3311,Centre Distribution de St Loubès,Centre de Distribution Alimentaire,Z.I La Lande 18 Chemin de Barateau  33450 St Loubes
U3312,Distribution CAP Merignac,Distribution de chèques,"13, Avenue DU CHATEAU D'EAU   33700 MERIGNAC"
U3313,FERMER - CD Merignac,Centre de Distribution Alimentaire,"13, Avenue DU CHATEAU D'EAU   33700 MERIGNAC"
U3314,Centre distribution Sainte-Foy-la-Grande,Centre de Distribution Alimentaire,19 rue Chanzy   33220 Sainte-Foy-la-Grande
U3315,Centre de distribution de Langon,Centre de Distribution Alimentaire,17 Cours Fossés   33210 Langon
U3316,FERME CD de Libourne,Centre de Distribution Alimentaire,"75, Avenue DE L'EPINETTE   33500 LIBOURNE"
U3317,Epicerie sociale d'Arcachon,Epicerie sociale,35 bis cours Tartas   33120 ARCACHON
U3318,Centre de distibution de Macau,Centre de Distribution Alimentaire,4 rue du Château d'Agassac   33290 LUDON MEDOC
U3401,Centre distribution Balaruc les Bains,Centre de Distribution Alimentaire,L'Espace Solidarité Enfance   34540 Balaruc les Bains
U3402,Centre de distribution Pezenas,Centre de Distribution Alimentaire,11 rue Louis Blanc   34120 PEZENAS
U3403,Centre distribution de Montpellier,Centre de Distribution Alimentaire,"3, Boulevard HENRI IV   34000 MONTPELLIER"
U3404,Epicerie sociale de Gignac,Epicerie sociale,4 place de Verdun BP46  34150 GIGNAC
U3405,Accueil de jour de Montpellier,Accueil de jour,3 Bd Henri IV   34000 MONTPELLIER
U3406,A DEFINIR  CD Frontignan,Centre de Distribution Alimentaire,7 Rue de la raffinerie   34110 Frontignan
U3407,Distribution CAP Lodeve,Distribution de chèques,Délégation de Lodeve BP 86  34701 LODEVE Cedex
U3408,Epicerie sociale de Frontignan,Epicerie sociale,7 Rue de la raffinerie   34110 FRONTIGNAN
U3409,Centre de distribution de Vias,Centre de Distribution Alimentaire,BP 24   34450 VIAS
U35,DD Ille et Vilaine,Distribution de chèques,"4, rue de la Sauvaie   35000 RENNES"
U3501,Centre de distribution de Redon,Centre de Distribution Alimentaire,28 rue St Michel   35600 REDON
U3502,Centre de distribution Rennes,Centre de Distribution Alimentaire,4 rue Sauvaie   35000 RENNES
U3503,FERMER PAB de Rennes,Point alimentation bébé,4 rue Sauvaie   35000 RENNES
U3504,Samu social de Rennes,Samu social,66-68 rue Dupont des Loges   35000 RENNES
U3601,Centre de distribution d'Issoudun,Centre de Distribution Alimentaire,"4, avenue de Chinault   36100 Issoudun"
U3602,Centre de distribution d' Aigurande,Centre de Distribution Alimentaire,22 Avenue Rollinot   36140 Aigurande
U3603,Centre de distribution de Chateauroux,Centre de Distribution Alimentaire,82 Boulevard George Sand   36000 CHATEAUROUX
U3701,Epicerie sociale de Joué les Tours,Epicerie sociale,6 rue Pasteur   37300 JOUE LES TOURS
U3702,Epicerie sociale Tours,Epicerie sociale,13 rue Guynemer   37000 TOURS
U3703,Centre de distribution L'ile Bouchard,Centre de Distribution Alimentaire,"15, place Bouchard   37220 L'ile Bouchard"
U3704,Centre de distribution de Chinon,Centre de Distribution Alimentaire,16 rue Paul HUET   37500 Chinon
U3705,Epicerie sociale La Rouchouze Langeais,Epicerie sociale,DL de Bourgeuil Langeais BP 29   37140 Bourgueil
U3706,Epicerie sociale Descartes,Epicerie sociale,2 Avenue de la gare CRF Antenne Descartes  37160 Descartes
U3707,Epicerie sociale de Preuilly sur Claise,Epicerie sociale,15 rue Saint Pierre   37290 Previlly sur Claise
U3708,Epicerie sociale de Ligueil,Epicerie sociale,Place de la maire  Centre social 37240 Ligueil
U3709,Epicerie sociale le Grand Pressigny,Epicerie sociale,2 chemin des Roches   37350 Le Grand Pressigny
U3710,Centre de Distribution de Sainte Maure,Centre de Distribution Alimentaire,1 RUE DU BON VALET   37800 Sainte Maure de Touraine
U3711,Centre distribution St Etienne de Chigny,Centre de Distribution Alimentaire,4 route de Beauvais   37230 ST ETIENNE DE CHIGNY
U3712,Centre de distribution Azay le Rideau,Centre de Distribution Alimentaire,25 Avenue de la gare   37190 AZAY LE RIDEAU
U3713,Centre distribution Cinq-mars-la-pile,Centre de Distribution Alimentaire,8 rue de la gare   37130 CINQ MARS LA PILE
U3714,Centre de distribution Tours S/Francisco,Centre de Distribution Alimentaire,38-40 rue San francisco   37000 TOURS
U3715,Centre de distribution Tours-Bretonneau,Centre de Distribution Alimentaire,25 rue du docteur Bretonneau   37000 TOURS
U3716,Centre de distribution de Tours,Centre de Distribution Alimentaire,13 rue Guynemer   37000 TOURS
U38,DD d'Isère,Distribution de chèques,4 Rue Kleber   38000 GRENOBLE
U3801,Centre distribution de Grenoble,Centre de Distribution Alimentaire,4 rue Kleber   38000 GRENOBLE
U3802,Samu social de Grenoble,Samu social,4 rue Kleber   38000 GRENOBLE
U3803,Centre distribution St Quentin Fallavier,Centre de Distribution Alimentaire,rue de Merlet   38070 St Quentin Fallavier
U3804,Distribution CAP de Crolles,Distribution de chèques,131 rue de la Tuilerie   38920 CROLLES
U3805,Centre distribution de Vienne,Centre de Distribution Alimentaire,22 rue Voltaire   38200 Vienne
U3806,Centre distribution de Verpillière,Centre de Distribution Alimentaire,Ancienne Caserne des Pompiers avenue  Lesdiguières  38290 Verpillière
U3807,Centre de distribution de Voiron,Centre de Distribution Alimentaire,5-7 rue Genevoise   38500 Voiron
U3808,Centre distribution Pont de Beauvoisin,Centre de Distribution Alimentaire,31 Avenue de la Folatière   38480 PONT DE BEAUVOISIN
U3809,Centre distribution de La Tour du Pin,Centre de Distribution Alimentaire,129 rue d'Italie BP 146   38110 LA TOUR DU PIN
U3810,Samu social d'Echirolles,Samu social,56 avenue de la République   38130 ECHIROLLES
U3811,Centre de distribution Villefontaine,Centre de Distribution Alimentaire,Les Roches   38090 VILLEFONTAINE
U3812,Centre distribution de St Marcellin,Centre de Distribution Alimentaire,6 Place du Souvenir Français   38160 St Marcellin
U3813,Centre Distribution Bourgoin Jallieu,Centre de Distribution Alimentaire,22 AVENUE DE CHAMP FLEURI   38300 BOURGOIN JALLIEU
U3814,Samu social Bourgoin Jallieu,Samu social,22bis avenue de Champfleuri   38300 Bourgoin Jallieu
U3815,Centre distribution Rives,Centre de Distribution Alimentaire,75 rue Sadi Carnot   38140 Rives
U3816,Distribution CAP de La Mure,Distribution de chèques,25 Rue Cotte Rouge   38350 La Mure
U3901,FERME ****CD Bletterans****,Centre de Distribution Alimentaire,20 rue de la demi lune   39140 Bletterans
U3902,Centre de distribution de Arinthod,Centre de Distribution Alimentaire,Mairie Arinthod   39240 Arinthod
U3903,Centre de distribution de Lons le Saunie,Centre de Distribution Alimentaire,71 rue saint Desire   39000 LONS LE SAUNIER
U3904,Centre de distribution Orgelet,Centre de Distribution Alimentaire,24 rue de la république   39270 Orgelet
U3905,Centre de distribution de Saint Amour,Centre de Distribution Alimentaire,2 allée des capucins   39160 Saint Amour
U3906,Centre de distribution d'Arbois,Centre de Distribution Alimentaire,"10, rue de l'hotel de ville   39600 ARBOIS"
U3907,Epicerie sociale de Bletterans,Epicerie sociale,"20, rue de la demi-lune   39140 BLETTERANS"
U40,DD des Landes,Distribution de chèques,"243, Chemin de l'évasion   40000 MONT DE MARSAN"
U4001,Centre de distribution de Mont de Marsan,Centre de Distribution Alimentaire,243 chemin de l'évasion   40000 MONT DE MARSAN
U4002,Samu social de Peyrehorade,Samu social,Maison la Douga Délégation locale pays d'Orthe  40300 CAUNEILLE
U4003,Distribution CAP Dax,Centre de Distribution Alimentaire,Plateforme sociale   40100 DAX
U4004,Distribution CAP St Vincent Tyrosse,Centre de Distribution Alimentaire,Place Tourren   40230 ST VINCENT DE TYROSSE
U4005,Distribution CAP de Parentis en Born,Centre de Distribution Alimentaire,Maison des associations   40160 PARENTIS EN BORN
U4006,Distribution CAP de St Martin Seignanx,Centre de Distribution Alimentaire,Mairie   40390 ST MARTIN DE SEIGNANX
U4007,Distribution CAP de Mont de Marsan,Centre de Distribution Alimentaire,243 chemin évasion   40000 MONT DE MARSAN
U4101,Centre distribution itinérant Vendôme,Centre de Distribution Alimentaire,21 rue du Commandant Verrier   41100 VENDOME
U4201,Centre de distribution de St Etienne,Centre de Distribution Alimentaire,47 rue Gauthier Dumont   42100 St ETIENNE
U4202,Centre de distribution de Montbrison,Centre de Distribution Alimentaire,7bis rue Marguerite Fournier   42600 MONTBRISON
U4203,Centre de distribution Sury-le-Comtal,Centre de Distribution Alimentaire,3 Place Louis Giraudier   42450 SURY LE COMTAL
U4204,Centre de distribution de Firminy,Centre de Distribution Alimentaire,10 rue Lamartine  10 rue Lamartine 42700 FIRMINY
U4205,Centre de distribution de Veauche,Centre de Distribution Alimentaire,35 avenue Irénée Laurent   42340 VEAUCHE
U4301,Centre Distribution de Puy en Velay,Centre de Distribution Alimentaire,3 Rue Charles VII   43000 Puy en Velay
U4302,Centre de Distribution de Saint Sigolène,Centre de Distribution Alimentaire,MAIRE PP J SALQUE   43600 SAINTE SIGOLENE
U4303,Centre de Distribution de Bas en Basset,Centre de Distribution Alimentaire,MAIRIE DE BAS EN BASSET   43210 BAS EN BASSET
U44,DD Loire-Atlantique,Distribution de chèques,1 place Beaumanoir   44000 NANTES
U4401,Centre de distribution du Pontchâteau,Centre de Distribution Alimentaire,27 rue Nantaise   44160 Pontchâteau
U4402,Centre de distribution Vallet,Centre de Distribution Alimentaire,5 rue de la Bourie   44330 Vallet
U4403,Centre de distribution Rezé,Centre de Distribution Alimentaire,64bis rue Emile Zola   44400 Rezé
U4404,Centre de distribution Nantes Trébuchet,Centre de Distribution Alimentaire,"13, Place SOPHIE TREBUCHET   44000 NANTES"
U4405,Centre de distribution Batz sur Mer,Centre de Distribution Alimentaire,place du Murier   44740 BATZ SUR MER
U4406,Epicerie sociale de Carquefou,Epicerie sociale,8 Rue Petites Industries   44470 Carquefou
U4407,Centre distribution de St Nazaire,Centre de Distribution Alimentaire,16 rue Mme de Sévigné   44600 ST NAZAIRE
U4408,Centre de distribution de Paimboeuf,Centre de Distribution Alimentaire,7 rue Pierre Chevry   44560 Paimboeuf
U4409,Centre de  distribution de St Michel C/C,Centre de Distribution Alimentaire,8 Rue des Tonneliers   44730 St Michel Chef Chef
U4410,Distribution CAP Ancenis,Distribution de chèques,524 rue Urien   44150 ANCENIS
U4411,Distribution de CAP de Chateaubriant,Distribution de chèques,26 rue des Etats Unis   44110 Chateaubriant
U4412,Centre de distribution de Savenay,Centre de Distribution Alimentaire,3 rue des Fauvettes   44260 SAVENAY
U4413,Centre distribution de la Turballe,Centre de Distribution Alimentaire,Salle Francois-Marie LEBRUN rue de la Fontaine  44420 La Turballe
U4414,Centre distribution de Guérande,Centre de Distribution Alimentaire,1 avenue  de la Briere   44350 Guérande
U4415,Centre distribution de Croisic,Centre de Distribution Alimentaire,Rue du Grand Lin   44490 LE CROISIC
U4416,A DEFINIR,Epicerie sociale,17 rue waldeck Rousseau   44130 Blain
U4417,Distribution ambulante St Nazaire,Centre de Distribution Alimentaire,16 rue Madame de Sévigné   44600 SAINT NAZAIRE
U4418,Centre de distribution de Blain,Centre de Distribution Alimentaire,7 rue de la Marsolais   44130 BLAIN
U4419,Centre distribution Grandchamp Fontaines,Centre de Distribution Alimentaire,  11 Rue du Perray 44119 Grandchamp des Fontaines
U4501,Centre de distribution d'Orléans,Centre de Distribution Alimentaire,69bis rue des Anguignis   45650 St Jean le Blanc
U4502,Samu social d'Orléans,Samu social,69 bis rue des Anguignis   45650 ST JEAN LE BLANC
U4503,Centre distribution de Montargis,Centre de Distribution Alimentaire,105 rue Coquillet   45200 Montargis
U4504,Centre distribution de St Jean le Blanc,Centre de Distribution Alimentaire,  69 Bis rue des Anguignis 45650 ST JEAN LE BLANC
U46,DD du Lot,Distribution de chèques,"175, Rue EMILE ZOLA   46000 CAHORS"
U4601,Centre de distribution de Saint-Céré,Centre de Distribution Alimentaire,4 Place Léon Gambetta   46400 ST CERE
U4602,Centre de distribution de Cahors,Centre de Distribution Alimentaire,DL de la Croix-Rouge 175 rue Emile Zola  46000 CAHORS
U4603,Samu social de Cahors,Samu social,175 rue Emile Zola   46000 CAHORS
U4604,Centre de distribution de Figeac,Centre de Distribution Alimentaire,12 avenue Marcenac Casimir   46100 Figeac
U4605,Distribution de CAP de Souillac,Distribution de chèques,MAISON COMMUNAUTAIRE BRAMEFOND  46200 SOUILLAC
U4606,Distribution de CAP de Luzech,Distribution de chèques,546 route d'Albas   46140 UZECH
U47,DD Lot-et-Garonne,Distribution de chèques,"148, Place LAMENNAIS   47000 AGEN"
U4701,Centre de distribution Marmande,Centre de Distribution Alimentaire,Square DE VERDUN   47200 Marmande
U4702,Samu social de Tonneins,Samu social,IMMEUBLE DE TAPOL - SALLE N° 12 Rue SAINTE-CROIX  47400 TONNEINS
U4703,Samu social de Marmande,Samu social,Square DE VERDUN   47200 MARMANDE
U4704,Centre de distribution d'Agen,Centre de Distribution Alimentaire,"148, Place LAMENNAIS   47000 AGEN"
U4705,Distribution CAP Tonneins,Distribution de chèques,IMMEUBLE DE TAPOL rue Sainte-Croix  47400 TONNEINS
U4706,Centre de distribution de Villereal,Centre de Distribution Alimentaire,Route DE MONPAZIER   47210 VILLEREAL
U4707,Centre de distribution d'Aiguillon,Centre de Distribution Alimentaire,salle Lunac Rue SABATTE  47190 AIGUILLON
U4708,Samu social d'Agen,Samu social,"148, Place LAMENNAIS   47000 AGEN"
U4709,Samu de Villeneuve sur Lot,Samu social,"28, Rue DU TOUT Y CROIT   47300 Villeneuve sur Lot"
U4710,Centre distribution Villeneuve sur Lot,Centre de Distribution Alimentaire,"28, Rue DU TOUT Y CROIT   47300 VILLENEUVE SUR LOT"
U4711,Centre de distribution de Tonneins,Centre de Distribution Alimentaire,ETAPE Place de la manufacture  47400 TONNEINS
U4712,Centre de distribution de Miramont,Centre de Distribution Alimentaire,Square Victor Hugo BAT 5A  47800 MIRAMONT DE GUYENNE
U4713,Espace Parent/Enfant de Nérac,Espace bébé maman,rue François Baudy-Centre Samaze   47600 Nerac
U4714,Centre de distribution de Castillonnès,Centre de Distribution Alimentaire,51 grand'rue   47330 Castillonnès
U4715,A DEFINIR,Centre de Distribution Alimentaire,28 Rue Tout Y Croît   47300 Villeneuve-sur-Lot
